Author,Study_ID,Effectsize_ID,Case_ID,Year,Basin_ID,Basin,Region_ID,Region,Country_ID,Country,Site_ID,Site,Forest_type,Holdridge_ID,Holdridge_life_zone,Latitude,Longitude,Elevation_m,MAP_mm,MAT_C,MAT_MAP_x100,Rock_type_ID,Rock_type,RockP_ID,RockP_class,Par_Mat_ID,Par_Mat,Soil_ID,USDA_Soil_order,Hedley_totalsoilP_Bicarb_OH_Pt,Other_soil_P,Other_soil_P_Unit,Treatment_ID,Treatment,Fraction,Variable,Raw_Unit,Gale_wind_duration_minutes,Fujita_scale,StormFrequencyNorm,YearsSinceLastStorm,DisturbanceYear,DisturbanceName,DisturbanceClass,DisturbanceDate,Distance_to_Disturb_km,Disturb_Rainfall_mm,HURRECON_wind_ms,WMO_wind_ms,WMO_wind_kts,WMO_press_mb,TSD_months,Cat_TSD_months,Post_Mean,Post_SD,Pre_Mean,Pre_SD,S_size,PostMonth,Pre_Mean_MonthSpecific,Pre_SD_MonthSpecific
Zimmerman et al,4,25,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,12,Rec,0.55,1.06,1.34,0.45,20,September,1.7,0.42
Zimmerman et al,4,26,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,15,Rec,0.82,0.74,1.34,0.45,20,December,0.74,0.19
Zimmerman et al,4,27,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,18,Rec,1.58,0.74,1.34,0.45,20,March,1.8,0.45
Zimmerman et al,4,28,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,21,Rec,1.73,0.58,1.34,0.45,20,June,1.19,0.3
Zimmerman et al,4,29,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,24,Rec,0.87,1.29,1.34,0.45,20,September,1.7,0.42
Zimmerman et al,4,30,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,27,Rec,1.13,0.19,1.34,0.45,20,December,0.74,0.19
Zimmerman et al,4,31,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,30,Rec,2.05,1.23,1.34,0.45,20,March,1.8,0.45
Zimmerman et al,4,32,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,33,Rec,1.91,1,1.34,0.45,20,June,1.19,0.3
Zimmerman et al,4,33,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,36,Rec,0.85,0.32,1.34,0.45,20,September,1.7,0.42
Ostertag et al,6,34,6.1,2003,1,North Atlantic,1,Caribbean,1,Puerto Rico,5,Cubuy,Moist,7,Subtropical Moist,18.2819211,-65.8536639,400,2500,23,0.92,2,Basalt,3,High,14,Volcaniclastic,6,Ultisol,,255,mg/kg,1,Ambient,TotLitfall,Mass,g/m2/day,2355,4,0.32,2.2,1998,Georges,Major Hurricane,21-Sep-98,38,187.5,37,51.4,100,968,0.5,0-0.5,868,38.91,3.22,0.04,20,September,2.5,0.33
