Author,Study_ID,Effectize_ID,Case ID,Year,Basin_ID,Basin,Region_ID,Region,Area_ID,Country,Site_ID,Site,Forest_type,Holdridge_ID,Holdridge_life_zone,Latitude,Longitude,Elevation_m,MAP_mm,MAT_C,MAT_MAP_x100,Rocktype_ID,RockType,RockP_ID,RockPClass,Par_Mat_ID,Par_Mat,Soil_ID,USDA_Soil_Order,Total_soil_P (Bicarb- + NaOH-Pt),Other_soil_P,Other_soil_P_Unit,Treatment_ID,Treatment,Fraction,Variable,Raw_Unit,Gale_wind_duration_minutes,Fujita_scale,StormFrequencyNorm,YearsSinceLastStorm,DisturbanceYear,DisturbanceName,DisturbanceClass,DisturbanceDate,Distance_to_Disturb_km,Disturb_Rainfall_mm,HURRECON_wind_ms,WMO_wind_ms,WMO_press_mb,Raw_TSD,TSD_months,Cat_TSD_months,Post_Mean,Post_SD,Post_n,Pre_Mean,Pre_SD,Pre_n,Transf_Unit,Post_Mean_transf,Post_SD_transf,Pre_Mean_transf,Pre_SD_transf,PostMonth,Recovery,Pre_Mean_MonthSpecific,Pre_SD_MonthSpecific,Ref P,Ref dist_rainfall,Ref Distance,PS,,,,,,,
Scatena et al,17,27,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,0.5,0-0.5,0.78,0.2,60,18.27,5.81,60,,,,,,September,Y,18.8,1.82,,,,,,,,,,,
Scatena et al,17,28,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,1,Rec,2.31,1.25,60,18.27,5.81,60,,,,,,October,Y,13.34,1.59,,,,,,,,,,,
Scatena et al,17,29,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,2,Rec,5.52,5.11,60,18.27,5.81,60,,,,,,November,Y,23.13,11.36,,,,,,,,,,,
Scatena et al,17,30,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,3,Rec,2.54,0.91,60,18.27,5.81,60,,,,,,December,Y,14.06,1.25,,,,,,,,,,,
Scatena et al,17,31,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,4,Rec,2.78,2.78,60,18.27,5.81,60,,,,,,January,Y,11.48,0.11,,,,,,,,,,,
Scatena et al,17,32,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,5,Rec,4.63,0.68,60,18.27,5.81,60,,,,,,February,Y,19.83,8.97,,,,,,,,,,,
Scatena et al,17,33,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,6,Rec,9.45,0.23,60,18.27,5.81,60,,,,,,March,Y,17.44,4.67,,,,,,,,,,,
Scatena et al,17,34,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,7,Rec,5.67,2.39,60,18.27,5.81,60,,,,,,April,Y,24.22,5.84,,,,,,,,,,,
Scatena et al,17,35,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,8,Rec,5.35,2.39,60,18.27,5.81,60,,,,,,May,Y,21.49,5.94,,,,,,,,,,,
Scatena et al,17,36,17.1,1996,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,,9,Rec,9.6,2.73,60,18.27,5.81,60,,,,,,June,Y,17.67,7.89,,,,,,,,,,,
